Broad cell type,mean,std,median,count,q1,q3,f_score
Neuronal,0.9689238416000001,0.004676381340532518,0.96879166,25,0.96397597,0.9725684,0.8641975308641975
Immune (B cell),0.95456184,0.02157572533419502,0.9620103,17,0.95691645,0.96614796,0.7017543859649122
ICCs,0.7093853299578059,0.4570600378759054,0.8667231,237,0.85667324,0.87018967,0.7796610169491526
Adipocyte,0.7918408859999999,0.26575934614582986,0.8577081,175,0.8451498500000001,0.86281882,0.9097978227060654
Schwann cell,0.7597384088969072,0.26837123620279435,0.8145701,970,0.7781726575,0.827986315,0.8240701154339461
Endothelial cell (lymphatic),0.7358151699260477,0.2651337743278391,0.7854071,1217,0.7686965,0.79874736,0.8760724499523356
Fibroblast,0.6902804568949947,0.16084499734834268,0.73363984,10409,0.6786135,0.76825434,0.8888444926460795
Immune (DC/macrophage),0.6790472326984834,0.1802356408145644,0.7225595,2242,0.6570627,0.7571814775,0.815474963939831
Pericyte/SMC,0.6182859292371135,0.2932864116640058,0.68674385,970,0.6478145949999999,0.718925375,0.5955334987593052
Myocyte (smooth muscle),0.5938009256814522,0.23270942262084662,0.6523369,13662,0.5655211775,0.7048854950000001,0.9275315621430036
Endothelial cell (vascular),0.5178992518455302,0.2313394150036442,0.574891675,3244,0.49132192,0.642627675,0.7320620555914673
Immune (NK cell),0.2472952632352941,0.24311504079958637,0.331456645,34,0.2238245475,0.359270585,0.6862745098039216
Immune (T cell),-0.03951883594224,0.22066293985859853,0.0241137555,250,-0.1332780625,0.1006029775,0.5935613682092555
Immune (mast cell),-0.3275041728973648,0.29884163953458853,-0.17973426,721,-0.22695337,-0.15782903,0.8295886622882821
