cluster_name,skos,manual_mapped_cid,cell_ontology_id
Adipocyte,,,CL:0000057
Adipocyte,,,CL:0000136
Adipocyte,,,CL:0000183
Adipocyte,,,CL:0002139
Adipocyte,,,CL:0002573
Endothelial cell (lymphatic),,,CL:0000057
Endothelial cell (lymphatic),,,CL:0000183
Endothelial cell (lymphatic),,,CL:0000235
Endothelial cell (lymphatic),,,CL:0002138
Endothelial cell (lymphatic),,,CL:0002139
Endothelial cell (vascular),,,CL:0000057
Endothelial cell (vascular),,,CL:0000183
Endothelial cell (vascular),,,CL:0000235
Endothelial cell (vascular),,,CL:0002139
Fibroblast,,,CL:0000057
Fibroblast,,,CL:0000183
Fibroblast,,,CL:0000235
Fibroblast,,,CL:0002139
Fibroblast,,,CL:0002573
ICCs,,,CL:0000057
ICCs,,,CL:0000235
ICCs,,,CL:0002088
Immune (B cell),,,CL:0000057
Immune (B cell),,,CL:0000236
Immune (B cell),,,CL:0000451
Immune (DC/macrophage),,,CL:0000057
Immune (DC/macrophage),,,CL:0000145
Immune (DC/macrophage),,,CL:0000183
Immune (DC/macrophage),,,CL:0000235
Immune (DC/macrophage),,,CL:0000451
Immune (DC/macrophage),,,CL:0002139
Immune (DC/macrophage),,,CL:0002573
Immune (NK cell),,,CL:0000814
Immune (T cell),,,CL:0000057
Immune (T cell),,,CL:0000084
Immune (T cell),,,CL:0000451
Immune (T cell),,,CL:0002139
Immune (T cell),,,CL:0002573
Immune (mast cell),,,CL:0000057
Immune (mast cell),,,CL:0000097
Immune (mast cell),,,CL:0000183
Immune (mast cell),,,CL:0000235
Immune (mast cell),,,CL:0002139
Immune (mast cell),,,CL:0002573
Myocyte (smooth muscle),,,CL:0000057
Myocyte (smooth muscle),,,CL:0000183
Myocyte (smooth muscle),,,CL:0000192
Myocyte (smooth muscle),,,CL:0000235
Myocyte (smooth muscle),,,CL:0002139
Myocyte (smooth muscle),,,CL:0002504
Myocyte (smooth muscle),,,CL:0002573
Neuronal,,,CL:0000540
Pericyte/SMC,,,CL:0000057
Pericyte/SMC,,,CL:0000183
Pericyte/SMC,,,CL:0002139
Schwann cell,,,CL:0000057
Schwann cell,,,CL:0002139
Schwann cell,,,CL:0002573
