software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,NSForest_markers,binary_genes,onTarget
4.1,Broad cell type,Pericyte/SMC,970,0.5955334987593052,0.7955801104972375,0.2969072164948453,33129,74,682,288,2,"['RGS6', 'CACNA1C']","['ENSG00000182732', 'ENSG00000169282', 'ENSG00000075391', 'ENSG00000163453', 'ENSG00000154556', 'ENSG00000151067', 'ENSG00000125148', 'ENSG00000152583', 'ENSG00000164330', 'ENSG00000152818']",0.7572317123413086
4.1,Broad cell type,Myocyte (smooth muscle),13662,0.9275315621430036,0.9276402519408232,0.92709705753184,19523,988,996,12666,1,['MYH11'],"['ENSG00000133392', 'ENSG00000163017', 'ENSG00000198467', 'ENSG00000172403', 'ENSG00000140416', 'ENSG00000183963', 'ENSG00000075624', 'ENSG00000196924', 'ENSG00000163431', 'ENSG00000122786']",1.0
4.1,Broad cell type,Fibroblast,10409,0.8888444926460795,0.8866850147100693,0.897588625228168,22570,1194,1066,9343,1,['LAMA2'],"['ENSG00000196569', 'ENSG00000011465', 'ENSG00000153823', 'ENSG00000077942', 'ENSG00000154262', 'ENSG00000049540', 'ENSG00000145147', 'ENSG00000162407', 'ENSG00000133083', 'ENSG00000069702']",1.0
4.1,Broad cell type,Adipocyte,175,0.9097978227060654,1.0,0.6685714285714286,33998,0,58,117,2,"['PLIN1', 'AQP7']","['ENSG00000076555', 'ENSG00000181092', 'ENSG00000166819', 'ENSG00000173432', 'ENSG00000165269', 'ENSG00000151726', 'ENSG00000167588', 'ENSG00000135917', 'ENSG00000106484', 'ENSG00000167772']",1.0
4.1,Broad cell type,Endothelial cell (lymphatic),1217,0.8760724499523356,0.9126117179741808,0.7551355792933443,32868,88,298,919,1,['MMRN1'],"['ENSG00000205038', 'ENSG00000138722', 'ENSG00000137077', 'ENSG00000110841', 'ENSG00000135218', 'ENSG00000189056', 'ENSG00000133800', 'ENSG00000153721', 'ENSG00000132334', 'ENSG00000038295']",1.0
4.1,Broad cell type,Endothelial cell (vascular),3244,0.7320620555914673,0.7936925098554534,0.5585696670776819,30458,471,1432,1812,1,['PTPRB'],"['ENSG00000127329', 'ENSG00000175471', 'ENSG00000110799', 'ENSG00000116016', 'ENSG00000085276', 'ENSG00000261371', 'ENSG00000157554', 'ENSG00000125968', 'ENSG00000151789', 'ENSG00000186260']",1.0
4.1,Broad cell type,Immune (T cell),250,0.5935613682092555,0.6344086021505376,0.472,33855,68,132,118,1,['PARP8'],"['ENSG00000165929', 'ENSG00000143924', 'ENSG00000151883', 'ENSG00000124788', 'ENSG00000114423', 'ENSG00000141293', 'ENSG00000138378', 'ENSG00000112576', 'ENSG00000010810', 'ENSG00000135842']",0.5591875314712524
4.1,Broad cell type,Immune (NK cell),34,0.6862745098039216,0.8235294117647058,0.4117647058823529,34136,3,20,14,2,"['GNLY', 'AOAH']","['ENSG00000115523', 'ENSG00000198821', 'ENSG00000074966', 'ENSG00000198286', 'ENSG00000136250', 'ENSG00000134539', 'ENSG00000163564', 'ENSG00000186469', 'ENSG00000140563', 'ENSG00000027075']",1.0
4.1,Broad cell type,Immune (B cell),17,0.7017543859649122,0.8,0.4705882352941176,34154,2,9,8,1,['BANK1'],"['ENSG00000153064', 'ENSG00000156738', 'ENSG00000166501', 'ENSG00000116191', 'ENSG00000144218', 'ENSG00000135905', 'ENSG00000091490', 'ENSG00000019582', 'ENSG00000104894', 'ENSG00000165025']",1.0
4.1,Broad cell type,Immune (mast cell),721,0.8295886622882821,0.8839779005524862,0.665742024965326,33389,63,241,480,2,"['TPSB2', 'TPSAB1']","['ENSG00000197253', 'ENSG00000172236', 'ENSG00000185052', 'ENSG00000115604', 'ENSG00000182667', 'ENSG00000151422', 'ENSG00000196782', 'ENSG00000106069', 'ENSG00000135678', 'ENSG00000157404']",1.0
4.1,Broad cell type,Immune (DC/macrophage),2242,0.815474963939831,0.8483386923901394,0.7060660124888493,31648,283,659,1583,1,['RBM47'],"['ENSG00000163694', 'ENSG00000124491', 'ENSG00000260314', 'ENSG00000248905', 'ENSG00000059377', 'ENSG00000168214', 'ENSG00000169554', 'ENSG00000163162', 'ENSG00000173744', 'ENSG00000114541']",1.0
4.1,Broad cell type,Neuronal,25,0.8641975308641975,1.0,0.56,34148,0,11,14,2,"['NPY', 'PRPH']","['ENSG00000164326', 'ENSG00000066032', 'ENSG00000122585', 'ENSG00000135406', 'ENSG00000146469', 'ENSG00000069482', 'ENSG00000154277', 'ENSG00000174469', 'ENSG00000067715', 'ENSG00000089250']",1.0
4.1,Broad cell type,Schwann cell,970,0.8240701154339461,0.8317152103559871,0.7948453608247422,33047,156,199,771,1,['CDH19'],"['ENSG00000071991', 'ENSG00000134121', 'ENSG00000153902', 'ENSG00000206579', 'ENSG00000237515', 'ENSG00000108018', 'ENSG00000021645', 'ENSG00000136546', 'ENSG00000171877', 'ENSG00000179915']",1.0
4.1,Broad cell type,ICCs,237,0.7796610169491526,0.8518518518518519,0.5822784810126582,33912,24,99,138,1,['DPP10'],"['ENSG00000175497', 'ENSG00000131620', 'ENSG00000170579', 'ENSG00000164116', 'ENSG00000082293', 'ENSG00000145808', 'ENSG00000165078', 'ENSG00000136267', 'ENSG00000189108', 'ENSG00000143341']",1.0
