author_cell_type1,mean,std,median,count,q1,q3,f_score
Glial cells,0.9317263631428572,0.017547262409206413,0.9356964,175,0.92412063,0.946452525,0.9642401021711366
Mast cells,0.8913776556521739,0.0471284359251462,0.9111947,92,0.87716624,0.9193294249999999,0.925
Lymphatics,0.8338574723958333,0.07145190027766268,0.86028825,96,0.815738415,0.8769791650000001,0.940721649484536
SM,0.7916510532222222,0.13154640761014166,0.834220225,54,0.7699037750000001,0.853379975,0.915841584158416
ACKR1+ endothelium,0.6136291512214764,0.22083577890939116,0.6833034,149,0.6048279,0.71493846,0.9152798789712556
Plasma cells,0.5683762894638277,0.1359941421568197,0.6206414,3898,0.5381528875,0.6635968425,0.5311767886105605
B cells,0.5608367774900095,0.12612019265759292,0.5988854,3183,0.5087251850000001,0.65276642,0.8739918549868242
Fibs,0.46372479589089316,0.2857856192020756,0.58491254,571,0.447510035,0.6410543,0.9345260753711458
Goblets,0.5285281751217391,0.17660677248195547,0.5811839000000001,230,0.5055539925,0.621913975,0.878003696857671
Paneth cells,0.40439602491176474,0.37961635146173933,0.56654938,34,0.45732812500000003,0.59366491,0.9876543209876544
CD36+ endothelium,0.4465735202862981,0.2354662442474142,0.5489271499999999,416,0.3525239525,0.61238755,0.8268633540372671
ILC,0.31451045128737337,0.34417869599098616,0.5246048,1382,0.05468316425,0.5683947675000001,0.7433474739683764
MNP,0.4891280110576147,0.15284151399028129,0.51833254,1635,0.399891975,0.61102865,0.8982444179307993
Cycling,0.4062831402145695,0.28255016844887665,0.5124542,151,0.42476970000000003,0.56912145,0.6659142212189616
Pericytes,0.32715877017933886,0.3377465811172824,0.49003816,121,0.11614988,0.55870116,0.7917888563049853
Doublets,0.23165344618909178,0.3820900998032088,0.3861621,4052,0.265577335,0.4369037225,0.40966937811598
TA,0.09673449679245283,0.23328502808285081,0.18144083,53,0.043339606,0.23307732,0.4864864864864865
Progenitors,0.08202069175052355,0.27334024231480836,0.172074005,382,-0.11559786625,0.303935725,0.7568438003220612
Enterocytes,0.10288804536217552,0.23475716804579122,0.16349666,809,-0.029245988,0.26275513,0.8706338939197931
T cells,-0.06347057099515892,0.1980453235362707,-0.04535509,14957,-0.22156835,0.09564373,0.8303941225541132
Enteroendocrines,-0.33237053605555555,0.2760053882121982,-0.20959559,18,-0.540195425,-0.1451424475,0.9615384615384616
