obo_id,label,start_years_post_birth
HsapDv:0000095,80 year-old and over stage,80.0
HsapDv:0000109,15-year-old stage,15.0
HsapDv:0000110,16-year-old stage,16.0
HsapDv:0000111,17-year-old stage,17.0
HsapDv:0000112,18-year-old stage,18.0
HsapDv:0000113,19-year-old stage,19.0
HsapDv:0000114,20-year-old stage,20.0
HsapDv:0000115,21-year-old stage,21.0
HsapDv:0000116,22-year-old stage,22.0
HsapDv:0000117,23-year-old stage,23.0
HsapDv:0000118,24-year-old stage,24.0
HsapDv:0000119,25-year-old stage,25.0
HsapDv:0000120,26-year-old stage,26.0
HsapDv:0000121,27-year-old stage,27.0
HsapDv:0000122,28-year-old stage,28.0
HsapDv:0000123,29-year-old stage,29.0
HsapDv:0000124,30-year-old stage,30.0
HsapDv:0000125,31-year-old stage,31.0
HsapDv:0000126,32-year-old stage,32.0
HsapDv:0000127,33-year-old stage,33.0
HsapDv:0000128,34-year-old stage,34.0
HsapDv:0000129,35-year-old stage,35.0
HsapDv:0000130,36-year-old stage,36.0
HsapDv:0000131,37-year-old stage,37.0
HsapDv:0000132,38-year-old stage,38.0
HsapDv:0000133,39-year-old stage,39.0
HsapDv:0000134,40-year-old stage,40.0
HsapDv:0000135,41-year-old stage,41.0
HsapDv:0000136,42-year-old stage,42.0
HsapDv:0000137,43-year-old stage,43.0
HsapDv:0000138,44-year-old stage,44.0
HsapDv:0000139,45-year-old stage,45.0
HsapDv:0000140,46-year-old stage,46.0
HsapDv:0000141,47-year-old stage,47.0
HsapDv:0000142,48-year-old stage,48.0
HsapDv:0000143,49-year-old stage,49.0
HsapDv:0000144,50-year-old stage,50.0
HsapDv:0000145,51-year-old stage,51.0
HsapDv:0000146,52-year-old stage,52.0
HsapDv:0000147,53-year-old stage,53.0
HsapDv:0000148,54-year-old stage,54.0
HsapDv:0000149,55-year-old stage,55.0
HsapDv:0000150,56-year-old stage,56.0
HsapDv:0000151,57-year-old stage,57.0
HsapDv:0000152,58-year-old stage,58.0
HsapDv:0000153,59-year-old stage,59.0
HsapDv:0000154,60-year-old stage,60.0
HsapDv:0000155,61-year-old stage,61.0
HsapDv:0000156,62-year-old stage,62.0
HsapDv:0000157,63-year-old stage,63.0
HsapDv:0000158,64-year-old stage,64.0
HsapDv:0000159,65-year-old stage,65.0
HsapDv:0000160,66-year-old stage,66.0
HsapDv:0000161,67-year-old stage,67.0
HsapDv:0000162,68-year-old stage,68.0
HsapDv:0000163,69-year-old stage,69.0
HsapDv:0000164,70-year-old stage,70.0
HsapDv:0000165,71-year-old stage,71.0
HsapDv:0000166,72-year-old stage,72.0
HsapDv:0000167,73-year-old stage,73.0
HsapDv:0000168,74-year-old stage,74.0
HsapDv:0000169,75-year-old stage,75.0
HsapDv:0000170,76-year-old stage,76.0
HsapDv:0000171,77-year-old stage,77.0
HsapDv:0000172,78-year-old stage,78.0
HsapDv:0000173,79-year-old stage,79.0
HsapDv:0000206,80-year-old stage,80.0
HsapDv:0000207,81-year-old stage,81.0
HsapDv:0000208,82-year-old stage,82.0
HsapDv:0000209,83-year-old stage,83.0
HsapDv:0000210,84-year-old stage,84.0
HsapDv:0000211,85-year-old stage,85.0
HsapDv:0000212,86-year-old stage,86.0
HsapDv:0000213,87-year-old stage,87.0
HsapDv:0000214,88-year-old stage,88.0
HsapDv:0000215,89-year-old stage,89.0
HsapDv:0000216,90-year-old stage,90.0
HsapDv:0000217,91-year-old stage,91.0
HsapDv:0000218,92-year-old stage,92.0
HsapDv:0000219,93-year-old stage,93.0
HsapDv:0000220,94-year-old stage,94.0
HsapDv:0000221,95-year-old stage,95.0
HsapDv:0000222,96-year-old stage,96.0
HsapDv:0000223,97-year-old stage,97.0
HsapDv:0000224,98-year-old stage,98.0
HsapDv:0000225,99-year-old stage,99.0
HsapDv:0000226,prime adult stage,15.0
HsapDv:0000227,late adult stage,60.0
HsapDv:0000228,100-year-old stage,100.0
HsapDv:0000229,101-year-old stage,101.0
HsapDv:0000230,102-year-old stage,102.0
HsapDv:0000231,103-year-old stage,103.0
HsapDv:0000232,104-year-old stage,104.0
HsapDv:0000233,105-year-old stage,105.0
HsapDv:0000234,106-year-old stage,106.0
HsapDv:0000237,third decade stage,20.0
HsapDv:0000238,fourth decade stage,30.0
HsapDv:0000239,fifth decade stage,40.0
HsapDv:0000240,sixth decade stage,50.0
HsapDv:0000241,seventh decade stage,60.0
HsapDv:0000242,eighth decade stage,70.0
HsapDv:0000243,ninth decade stage,80.0
HsapDv:0000244,tenth decade stage,90.0
HsapDv:0000245,eleventh decade stage,100.0
HsapDv:0000247,centenarian stage,100.0
HsapDv:0000248,107-year-old stage,107.0
HsapDv:0000249,108-year-old stage,108.0
HsapDv:0000250,109-year-old stage,109.0
HsapDv:0000251,110-year-old stage,110.0
HsapDv:0000252,111-year-old stage,111.0
HsapDv:0000253,112-year-old stage,112.0
HsapDv:0000254,113-year-old stage,113.0
HsapDv:0000255,114-year-old stage,114.0
HsapDv:0000258,adult stage,15.0
HsapDv:0000266,young adult stage,15.0
HsapDv:0000267,middle aged stage,40.0
HsapDv:0000268,15-19 year-old,15.0
HsapDv:0000272,60-79 year-old stage,60.0
HsapDv:0000274,90 year-old and over stage,90.0
