Curated_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Acinar-mix,0.69927955,0.14338653,0.7440737,3428
Activated stellate cells,-0.08566792,0.25552803,-0.0443295,1622
Alpha cells,0.1710654,0.2445472,0.24518345,840
Beta cells,-0.050242066,0.24156606,-0.010142706,1270
Delta cells,-0.25354245,0.13804369,-0.24273616,316
Ductal cells,0.058866996,0.2876467,0.15469927,16354
Endothelial cells,0.24271975,0.2753038,0.35605693,1710
Gamma cells,0.40198243,0.1665771,0.44818187,74
Idling acinar cells,0.2607797,0.29133952,0.36036503,35308
MUC5B+ ductal cells,0.58457136,0.19048877,0.6690818,62
Macrophages,0.2774277,0.24768567,0.36709222,551
Quiescent stellate cells,0.5660663,0.14495814,0.61984754,142
Secretory acinar cells,0.041239303,0.29890472,0.09928392,17690
