Curated_annotation,mean,std,median,count,q1,q3,f_score
Acinar-mix,0.6992795755030922,0.14338653137172097,0.74407369,3428,0.6931488375,0.7715086999999999,0.6081081081081081
MUC5B+ ductal cells,0.5845713661129033,0.1904887692003299,0.66908177,62,0.528028425,0.7057083749999999,0.3571428571428571
Quiescent stellate cells,0.5660663199295775,0.1449581365867742,0.61984755,142,0.50834985,0.6721065,0.4856115107913669
Gamma cells,0.40198244291891894,0.16657709656249714,0.44818186,74,0.352193025,0.5071694499999999,0.9893048128342246
Macrophages,0.27742771626168783,0.24768566872456263,0.36709222,551,0.217354715,0.4437405,0.4358974358974359
Idling acinar cells,0.26077971697937274,0.2913395227717855,0.360365045,35308,0.152476245,0.47822716249999997,0.5959302325581395
Endothelial cells,0.24271974653196493,0.2753038174960517,0.35605693,1710,0.08170377749999999,0.45104268999999997,0.7059245102723364
Alpha cells,0.17106541413809523,0.2445472040501754,0.245183455,840,0.02408098925,0.37966975000000003,0.7562408223201175
Ductal cells,0.0588669961759328,0.2876466969156895,0.154699275,16354,-0.13725613,0.29902833,0.8430189681111537
Secretory acinar cells,0.04123930345008372,0.29890472737904256,0.099283915,17690,-0.2071943675,0.3026213125,0.7390035438815926
Beta cells,-0.05024206520413386,0.24156606229040523,-0.010142706,1270,-0.222813535,0.16354110249999998,0.7776850306065665
Activated stellate cells,-0.08566792489422934,0.25552803778504835,-0.0443295025,1622,-0.260430165,0.143386755,0.6690727373681288
Delta cells,-0.2535424563924051,0.1380436824269278,-0.24273615999999998,316,-0.354801095,-0.13756407750000002,0.2817622950819672
